,gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype
ENSG00000162894,ENSG00000162894,False,FCMR,NCBITaxon:9606,gene
ENSG00000117322,ENSG00000117322,False,CR2,NCBITaxon:9606,gene
ENSG00000227591,ENSG00000227591,False,HSD11B1-AS1,NCBITaxon:9606,gene
ENSG00000123689,ENSG00000123689,False,G0S2,NCBITaxon:9606,gene
ENSG00000117595,ENSG00000117595,False,IRF6,NCBITaxon:9606,gene
ENSG00000082512,ENSG00000082512,False,TRAF5,NCBITaxon:9606,gene
ENSG00000117650,ENSG00000117650,False,NEK2,NCBITaxon:9606,gene
ENSG00000143476,ENSG00000143476,False,DTL,NCBITaxon:9606,gene
ENSG00000123685,ENSG00000123685,False,BATF3,NCBITaxon:9606,gene
ENSG00000117724,ENSG00000117724,False,CENPF,NCBITaxon:9606,gene
ENSG00000228063,ENSG00000228063,False,LYPLAL1-DT,NCBITaxon:9606,gene
ENSG00000197520,ENSG00000197520,False,FAM177B,NCBITaxon:9606,gene
ENSG00000154380,ENSG00000154380,False,ENAH,NCBITaxon:9606,gene
ENSG00000243709,ENSG00000243709,False,LEFTY1,NCBITaxon:9606,gene
ENSG00000163041,ENSG00000163041,False,H3-3A,NCBITaxon:9606,gene
ENSG00000162931,ENSG00000162931,False,TRIM17,NCBITaxon:9606,gene
ENSG00000119280,ENSG00000119280,False,C1orf198,NCBITaxon:9606,gene
ENSG00000143669,ENSG00000143669,False,LYST,NCBITaxon:9606,gene
ENSG00000186197,ENSG00000186197,False,EDARADD,NCBITaxon:9606,gene
ENSG00000233355,ENSG00000233355,False,CHRM3-AS2,NCBITaxon:9606,gene
ENSG00000180875,ENSG00000180875,False,GREM2,NCBITaxon:9606,gene
ENSG00000162852,ENSG00000162852,False,CNST,NCBITaxon:9606,gene
ENSG00000162711,ENSG00000162711,False,NLRP3,NCBITaxon:9606,gene
ENSG00000162722,ENSG00000162722,False,TRIM58,NCBITaxon:9606,gene
ENSG00000188558,ENSG00000188558,False,OR2G6,NCBITaxon:9606,gene
ENSG00000035115,ENSG00000035115,False,SH3YL1,NCBITaxon:9606,gene
ENSG00000189292,ENSG00000189292,False,ALKAL2,NCBITaxon:9606,gene
ENSG00000134321,ENSG00000134321,False,RSAD2,NCBITaxon:9606,gene
ENSG00000235576,ENSG00000235576,False,LINC01871,NCBITaxon:9606,gene
ENSG00000236790,ENSG00000236790,False,LINC00299,NCBITaxon:9606,gene
ENSG00000115738,ENSG00000115738,False,ID2,NCBITaxon:9606,gene
ENSG00000151693,ENSG00000151693,False,ASAP2,NCBITaxon:9606,gene
ENSG00000134317,ENSG00000134317,False,GRHL1,NCBITaxon:9606,gene
ENSG00000171848,ENSG00000171848,False,RRM2,NCBITaxon:9606,gene
ENSG00000115758,ENSG00000115758,False,ODC1,NCBITaxon:9606,gene
ENSG00000243819,ENSG00000243819,False,RN7SL832P,NCBITaxon:9606,gene
ENSG00000271952,ENSG00000271952,False,LINC01954,NCBITaxon:9606,gene
ENSG00000071575,ENSG00000071575,False,TRIB2,NCBITaxon:9606,gene
ENSG00000163029,ENSG00000163029,False,SMC6,NCBITaxon:9606,gene
ENSG00000143878,ENSG00000143878,False,RHOB,NCBITaxon:9606,gene
ENSG00000143869,ENSG00000143869,False,GDF7,NCBITaxon:9606,gene
ENSG00000218819,ENSG00000218819,False,TDRD15,NCBITaxon:9606,gene
ENSG00000205639,ENSG00000205639,False,MFSD2B,NCBITaxon:9606,gene
ENSG00000157833,ENSG00000157833,False,GAREM2,NCBITaxon:9606,gene
ENSG00000115155,ENSG00000115155,False,OTOF,NCBITaxon:9606,gene
ENSG00000115163,ENSG00000115163,False,CENPA,NCBITaxon:9606,gene
ENSG00000228474,ENSG00000228474,False,OST4,NCBITaxon:9606,gene
ENSG00000075426,ENSG00000075426,False,FOSL2,NCBITaxon:9606,gene
ENSG00000189350,ENSG00000189350,False,TOGARAM2,NCBITaxon:9606,gene
ENSG00000213626,ENSG00000213626,False,LBH,NCBITaxon:9606,gene
ENSG00000013016,ENSG00000013016,False,EHD3,NCBITaxon:9606,gene
ENSG00000049323,ENSG00000049323,False,LTBP1,NCBITaxon:9606,gene
ENSG00000152689,ENSG00000152689,False,RASGRP3,NCBITaxon:9606,gene
ENSG00000150938,ENSG00000150938,False,CRIM1,NCBITaxon:9606,gene
ENSG00000205221,ENSG00000205221,False,VIT,NCBITaxon:9606,gene
ENSG00000152133,ENSG00000152133,False,GPATCH11,NCBITaxon:9606,gene
ENSG00000055332,ENSG00000055332,False,EIF2AK2,NCBITaxon:9606,gene
ENSG00000236213,ENSG00000236213,False,AC006369.2,NCBITaxon:9606,gene
ENSG00000163171,ENSG00000163171,False,CDC42EP3,NCBITaxon:9606,gene
ENSG00000138061,ENSG00000138061,False,CYP1B1,NCBITaxon:9606,gene
ENSG00000143891,ENSG00000143891,False,GALM,NCBITaxon:9606,gene
ENSG00000143924,ENSG00000143924,False,EML4,NCBITaxon:9606,gene
ENSG00000230587,ENSG00000230587,False,LINC02580,NCBITaxon:9606,gene
ENSG00000152518,ENSG00000152518,False,ZFP36L2,NCBITaxon:9606,gene
ENSG00000152527,ENSG00000152527,False,PLEKHH2,NCBITaxon:9606,gene
ENSG00000273106,ENSG00000273106,False,PPM1B-DT,NCBITaxon:9606,gene
ENSG00000143933,ENSG00000143933,False,CALM2,NCBITaxon:9606,gene
ENSG00000184261,ENSG00000184261,False,KCNK12,NCBITaxon:9606,gene
ENSG00000115306,ENSG00000115306,False,SPTBN1,NCBITaxon:9606,gene
ENSG00000214595,ENSG00000214595,False,EML6,NCBITaxon:9606,gene
ENSG00000143947,ENSG00000143947,False,RPS27A,NCBITaxon:9606,gene
ENSG00000115355,ENSG00000115355,False,CCDC88A,NCBITaxon:9606,gene
ENSG00000163001,ENSG00000163001,False,CFAP36,NCBITaxon:9606,gene
ENSG00000119866,ENSG00000119866,False,BCL11A,NCBITaxon:9606,gene
ENSG00000162924,ENSG00000162924,False,REL,NCBITaxon:9606,gene
ENSG00000170264,ENSG00000170264,False,FAM161A,NCBITaxon:9606,gene
ENSG00000186889,ENSG00000186889,False,TMEM17,NCBITaxon:9606,gene
ENSG00000197329,ENSG00000197329,False,PELI1,NCBITaxon:9606,gene
ENSG00000119862,ENSG00000119862,False,LGALSL,NCBITaxon:9606,gene
ENSG00000143995,ENSG00000143995,False,MEIS1,NCBITaxon:9606,gene
ENSG00000115956,ENSG00000115956,False,PLEK,NCBITaxon:9606,gene
ENSG00000115977,ENSG00000115977,False,AAK1,NCBITaxon:9606,gene
ENSG00000059728,ENSG00000059728,False,MXD1,NCBITaxon:9606,gene
ENSG00000135631,ENSG00000135631,False,RAB11FIP5,NCBITaxon:9606,gene
ENSG00000225439,ENSG00000225439,False,BOLA3-AS1,NCBITaxon:9606,gene
ENSG00000115423,ENSG00000115423,False,DNAH6,NCBITaxon:9606,gene
